customer_id,origination_month,segment,subsegment,income_band,region,acquisition_channel,payroll_flag,digital_flag,autopay_flag,risk_band,product_tier,credit_line,age_band,tenure_months
C000068,2023-06,Affluent,Premium,High,North,Partner,1,1,1.0,Medium,Platinum,63708.0,18-24,30
C000069,2025-03,Mass,Payroll,Low,Central,Partner,1,1,,Low,Gold,24468.0,25-34,9
C000070,2024-05,Emerging,Growth,Medium,North,Digital,1,1,,Medium,Classic,14591.0,45-54,19
C000071,2024-10,Affluent,Wealth,High,Central,Digital,1,1,1.0,Low,Black,156317.0,55+,14
C000072,2025-12,Mass,Standard,Low,Central,Digital,0,1,1.0,Low,Classic,15292.0,35-44,1
C000073,2024-07,Masivo,Payroll,High,Central,Branch,1,0,0.0,Medium,Gold,39614.0,25-34,17
C000074,2024-09,AFFLUENT,Wealth,High,North,Campaign,0,0,0.0,Medium,Platinum,111950.0,25-34,15
C000075,2024-07,Affluent,Premium,Very High,Central,Digital,0,1,1.0,Low,Gold,22928.0,45-54,17
C000076,2022-10,AFFLUENT,Premium,Very High,West,Branch,0,1,0.0,High,Platinum,124536.0,25-34,38
C000077,2025-10,Affluent,Premium,Very High,Central,Digital,0,1,0.0,High,Platinum,98513.0,25-34,2
C000078,2022-02,Mass,Standard,Low,Central,Branch,0,0,0.0,Medium,Classic,16401.0,45-54,46
C000079,2025-09,MASS,Standard,Medium,Central,Campaign,0,1,0.0,Medium,Classic,5745.0,25-34,3
C000080,2024-06,Mass,Standard,Low,West,Digital,0,1,0.0,Low,Classic,11351.0,35-44,18
C000081,2025-08,Affluent,Payroll Premium,Very High,Central,Digital,1,1,1.0,Low,Platinum,91160.0,25-34,4
C000082,2024-05,Mass,Payroll,Medium,North,Branch,1,1,1.0,Low,Platinum,101846.0,18-24,19
C000083,2024-11,MASS,Standard,Low,South,Campaign,0,1,0.0,Medium,Classic,17657.0,25-34,13
C000084,2024-05,Mass,Standard,Medium,North,Campaign,0,0,0.0,High,Gold,31023.0,18-24,19
C000085,2022-07,MASS,Standard,Low,North,Campaign,0,1,0.0,Low,Classic,5651.0,55+,41
C000086,2024-10,Mass,Payroll,Low,Central,Digital,1,1,1.0,Low,Classic,5000.0,25-34,14
C000087,2024-09,Affluent,Premium,High,North,Branch,1,0,0.0,Medium,Platinum,82352.0,35-44,15
C000088,2025-11,Mass,Standard,Low,South,Branch,0,0,0.0,Medium,Gold,43284.0,55+,1
C000089,2025-09,Emerging,Growth,High,Central,Digital,0,1,0.0,High,Classic,14209.0,55+,3
C000090,2025-02,Mass,Young,Low,South,Partner,0,1,0.0,Medium,Classic,11909.0,25-34,10
C000091,2024-09,Mass,Payroll,Medium,Central,Digital,1,0,0.0,Low,Gold,43662.0,45-54,15
C000092,2023-09,Affluent,Payroll Premium,Very High,Central,Campaign,1,1,0.0,Low,Gold,56841.0,35-44,27
C000093,2024-07,Affluent,Premium,High,Central,Branch,0,1,,Low,Black,279744.0,18-24,17
C000094,2022-12,Mass,Standard,Low,Central,Campaign,0,0,1.0,Medium,Gold,50301.0,45-54,36
C000095,2024-05,Affluent,Premium,High,North,Branch,0,1,0.0,Medium,Platinum,108347.0,55+,19
C000096,2024-05,Mass,Young,High,South,Digital,0,1,0.0,Medium,Classic,9167.0,25-34,19
C000097,2023-09,Mass,Standard,Medium,West,Branch,1,0,0.0,Medium,Classic,20947.0,25-34,27
C000098,2024-03,Mass,Standard,Low,Central,Campaign,0,1,0.0,Medium,Classic,17509.0,25-34,21
C000099,2025-07,Mass,Standard,Low,Central,Digital,0,1,0.0,Low,Gold,37587.0,25-34,5
C000100,2024-02,Mass,Payroll,High,North,Digital,1,1,1.0,Medium,Gold,22207.0,25-34,22
C000101,2023-10,Mass,Standard,Medium,West,Branch,1,0,1.0,Low,Classic,15310.0,35-44,26
C000102,2023-08,Mass,Standard,Medium,West,Branch,0,0,0.0,Medium,Classic,16236.0,25-34,28
C000103,2025-10,Mass,Young,Medium,West,Branch,1,0,,Low,Classic,12271.0,18-24,2
C000104,2024-08,Mass,Standard,Medium,North,Digital,0,1,1.0,Medium,Gold,17334.0,35-44,16
C000105,2022-02,Emerging,Growth,High,West,Branch,1,0,0.0,Low,Classic,9985.0,35-44,46
C000106,2024-07,Mass,Standard,Medium,North,Branch,0,1,0.0,Low,Platinum,100763.0,45-54,17
C000107,2025-08,Mass,Payroll,High,Central,Digital,1,1,1.0,Low,Classic,17520.0,45-54,4
C000108,2023-05,Affluent,Premium,Very High,Central,Branch,0,1,,Low,Black,182501.0,35-44,31
C000109,2025-02,Mass,Standard,Low,West,Digital,0,1,0.0,High,Classic,8685.0,45-54,10
C000110,2024-02,Mass,Payroll,Low,South,Branch,1,1,1.0,Low,Classic,5000.0,25-34,22
C000111,2023-02,Masivo,Standard,Medium,South,Partner,0,1,0.0,High,Classic,20831.0,25-34,34
C000112,2023-10,Mass,Young,Low,West,Campaign,0,1,0.0,High,Platinum,90781.0,35-44,26
C000113,2025-06,Emerging,Growth,Medium,Central,Digital,1,1,0.0,Low,Classic,8725.0,55+,6
C000114,2022-03,Affluent,Wealth,Very High,South,Partner,0,1,0.0,Medium,Black,78967.0,35-44,45
C000115,2022-11,Mass,Standard,Low,North,Campaign,1,1,0.0,High,Classic,9819.0,35-44,37
C000116,2025-01,Affluent,Wealth,High,Central,Branch,0,1,1.0,Medium,Gold,53547.0,25-34,11
C000117,2025-02,Affluent,Wealth,High,North,Branch,0,1,0.0,Medium,Black,111977.0,55+,10
C000118,2024-08,Mass,Payroll,Low,West,Branch,1,1,1.0,Low,Classic,16057.0,25-34,16
C000119,2022-03,Emerging,Growth,Medium,West,Branch,0,1,1.0,Low,Classic,7856.0,25-34,45
C000120,2025-12,Mass,Young,Low,North,Campaign,0,1,0.0,Medium,Classic,12222.0,35-44,1
C000121,2022-07,Affluent,Premium,Very High,Central,Digital,0,1,0.0,Medium,Black,230205.0,35-44,41
C000122,2025-09,Emerging,Growth,Medium,Central,Campaign,1,0,1.0,Medium,Classic,6200.0,18-24,3
C000123,2024-01,Mass,Young,Medium,Central,Digital,0,1,0.0,High,Gold,45562.0,25-34,23
C000124,2025-04,Mass,Payroll,Low,Central,Campaign,1,0,,Medium,Gold,38812.0,55+,8
C000125,2024-10,Mass,Standard,Medium,North,Branch,0,0,0.0,Medium,Classic,13424.0,25-34,14
C000126,2025-07,Mass,Young,Low,North,Digital,0,1,1.0,Low,Classic,11803.0,35-44,5
C000127,2025-04,Affluent,Premium,Medium,Central,Digital,0,1,0.0,High,Platinum,105577.0,35-44,8
C000128,2025-09,AFFLUENT,Premium,High,North,Campaign,1,1,1.0,Low,Platinum,86075.0,18-24,3
C000129,2024-06,Mass,Payroll,High,Central,Campaign,1,1,0.0,Medium,Classic,5147.0,45-54,18
C000130,2023-10,Mass,Standard,Low,Central,Branch,0,0,0.0,Medium,Classic,11569.0,35-44,26
C000131,2025-02,Mass,Young,Low,West,Digital,0,1,0.0,Medium,Classic,20594.0,35-44,10
C000132,2024-06,Mass,Payroll,Medium,South,Branch,1,1,,Low,Classic,11247.0,35-44,18
C000133,2025-06,Mass,Standard,Medium,South,Campaign,0,0,,Medium,Classic,11489.0,25-34,6
C000134,2025-10,Masivo,Young,Low,North,Branch,1,0,0.0,Medium,Classic,6625.0,45-54,2
C000135,2023-11,Emerging,Growth,Low,Central,Digital,0,1,1.0,Medium,Classic,23968.0,45-54,25
C000136,2022-08,Mass,Standard,Low,West,Campaign,0,1,0.0,Medium,Classic,5000.0,25-34,40
C000137,2025-07,Mass,Young,Low,Central,Branch,0,1,1.0,Medium,Classic,11566.0,45-54,5
C000138,2023-09,Affluent,Payroll Premium,Medium,Central,Branch,1,1,0.0,Low,Gold,28744.0,55+,27
C000139,2024-07,Masivo,Standard,Low,West,Digital,0,1,0.0,High,Platinum,78603.0,18-24,17
C000140,2025-12,Emerging,Growth,Medium,North,Partner,0,1,0.0,Medium,Gold,24361.0,35-44,1
C000141,2024-07,Emerging,Growth,Medium,Central,Branch,0,0,0.0,Medium,Classic,12063.0,45-54,17
C000142,2023-02,Mass,Standard,Low,North,Campaign,1,0,1.0,Medium,Classic,8478.0,35-44,34
C000143,2025-09,Mass,Payroll,Medium,Central,Branch,0,0,1.0,Low,Gold,22087.0,18-24,3
C000144,2025-11,Mass,Standard,Low,North,Branch,0,0,0.0,Medium,Classic,5000.0,25-34,1
C000145,2023-06,Mass,Standard,Low,North,Digital,0,1,0.0,Medium,Platinum,62278.0,55+,30
C000146,2022-01,Mass,Payroll,Low,Central,Campaign,1,0,1.0,High,Classic,13241.0,35-44,47
C000147,2024-03,MASS,Standard,Low,South,Partner,0,0,0.0,High,Classic,18356.0,45-54,21
C000148,2025-01,MASS,Standard,Medium,West,Branch,0,1,0.0,Low,Classic,8083.0,35-44,11
C000149,2023-03,Masivo,Young,Low,South,Campaign,0,1,,Medium,Classic,14780.0,35-44,33
C000150,2025-10,Mass,Standard,Medium,Central,Branch,0,1,0.0,Medium,Gold,32674.0,25-34,2
C000151,2023-03,Emerging,Digital NewToBank,Medium,South,Campaign,0,0,1.0,Medium,Classic,9509.0,25-34,33
C000152,2022-02,Mass,Standard,Medium,Central,Branch,0,1,1.0,Medium,Gold,30489.0,25-34,46
C000153,2022-10,Masivo,Standard,Medium,Central,Campaign,0,1,0.0,Medium,Gold,23203.0,25-34,38
C000154,2024-06,Mass,Standard,Low,North,Branch,1,1,1.0,Medium,Gold,24835.0,25-34,18
C000155,2024-05,Emerging,Growth,Low,South,Partner,0,1,0.0,Medium,Classic,9521.0,45-54,19
C000156,2025-06,Mass,Standard,Low,Central,Branch,0,0,0.0,High,Classic,11961.0,18-24,6
C000157,2023-10,Affluent,Premium,High,West,Branch,1,1,0.0,Low,Platinum,60945.0,35-44,26
C000158,2024-11,Affluent,Wealth,High,West,Digital,1,1,1.0,Low,Platinum,93179.0,35-44,13
C000159,2023-10,Mass,Standard,Medium,Central,Campaign,0,1,0.0,Medium,Gold,27081.0,35-44,26
C000160,2022-01,Affluent,Premium,Medium,South,Partner,0,0,0.0,Low,Gold,39968.0,45-54,47
C000161,2022-08,Mass,Young,High,Central,Branch,1,0,1.0,Low,Classic,16311.0,35-44,40
C000162,2024-01,Mass,Young,Low,North,Branch,0,1,0.0,Low,Classic,12986.0,55+,23
C000163,2023-07,Mass,Young,Low,Central,Campaign,0,0,0.0,Medium,Classic,5000.0,55+,29
C000164,2023-08,Mass,Payroll,High,West,Branch,0,0,0.0,Medium,Gold,28436.0,55+,28
C000165,2025-11,Mass,Standard,Low,West,Campaign,1,0,1.0,Medium,Classic,9294.0,35-44,1
C000166,2025-11,Affluent,Wealth,Very High,Central,Digital,0,1,0.0,Low,Black,177205.0,25-34,1
C000167,2023-11,Mass,Payroll,Low,Central,Campaign,1,0,0.0,High,Classic,9590.0,35-44,25
C000168,2024-07,Mass,Standard,Low,North,Digital,1,1,1.0,High,Gold,33172.0,25-34,17
C000169,2024-06,Mass,Standard,Low,Central,Digital,1,1,1.0,Medium,Classic,11886.0,35-44,18
C000170,2025-03,Mass,Standard,Medium,West,Digital,1,1,1.0,High,Classic,15658.0,35-44,9
C000171,2023-10,Affluent,Premium,High,South,Digital,1,1,1.0,Low,Gold,29548.0,45-54,26
C000172,2025-09,Mass,Standard,Low,South,Digital,1,1,0.0,Medium,Classic,5000.0,18-24,3
C000173,2025-12,MASS,Young,Low,South,Digital,1,1,1.0,Medium,Gold,43170.0,45-54,1
C000174,2025-04,Mass,Payroll,Low,South,Campaign,1,0,1.0,Medium,Gold,35539.0,25-34,8
C000175,2024-01,Mass,Standard,Low,Central,Campaign,0,0,1.0,High,Gold,25789.0,45-54,23
C000176,2024-05,Mass,Payroll,High,Central,Campaign,1,0,0.0,Medium,Platinum,65807.0,45-54,19
C000177,2025-06,Affluent,Premium,High,Central,Campaign,1,0,0.0,Low,Black,185817.0,35-44,6
C000178,2025-07,Mass,Payroll,Medium,West,Branch,1,1,1.0,Medium,Classic,9983.0,25-34,5
C000179,2025-07,Emerging,Digital NewToBank,Low,Central,Campaign,0,0,0.0,High,Classic,20428.0,25-34,5
C000180,2025-07,Masivo,Payroll,Low,West,Partner,0,0,0.0,Medium,Classic,15973.0,55+,5
C000181,2025-11,Mass,Payroll,Medium,West,Branch,1,1,0.0,Medium,Classic,12953.0,25-34,1
C000182,2025-04,Mass,Standard,Medium,South,Campaign,1,1,1.0,Low,Gold,47094.0,35-44,8
C000183,2025-06,Emerging,Growth,High,North,Branch,1,1,,Medium,Classic,12719.0,45-54,6
C000184,2022-05,Affluent,Wealth,High,North,Branch,0,1,,Low,Platinum,76212.0,35-44,43
C000185,2022-11,MASS,Payroll,Low,Central,Digital,1,1,1.0,Medium,Classic,7270.0,25-34,37
C000186,2024-12,Mass,Payroll,Low,West,Campaign,1,1,1.0,Low,Classic,16794.0,35-44,12
C000187,2024-12,AFFLUENT,Payroll Premium,High,West,Branch,1,1,0.0,Medium,Platinum,73099.0,45-54,12
C000188,2025-04,Mass,Payroll,Low,North,Branch,1,0,1.0,Low,Classic,16965.0,45-54,8
C000189,2024-02,Mass,Payroll,Medium,Central,Branch,1,0,1.0,High,Classic,15125.0,45-54,22
C000190,2025-11,Mass,Payroll,Medium,West,Branch,1,1,1.0,Low,Gold,38172.0,45-54,1
C000191,2024-09,Mass,Standard,Medium,Central,Digital,1,1,1.0,Medium,Classic,14082.0,45-54,15
C000192,2024-11,Emerging,Growth,Medium,West,Branch,0,0,0.0,Medium,Classic,10122.0,35-44,13
C000193,2025-12,Emerging,Growth,Medium,Central,Partner,0,0,,Medium,Classic,11874.0,25-34,1
C000194,2025-11,Mass,Standard,Low,West,Branch,0,1,1.0,Low,Classic,10783.0,35-44,1
C000195,2023-04,Mass,Payroll,Medium,Central,Digital,1,1,1.0,Medium,Gold,35044.0,18-24,32
C000196,2025-12,Mass,Standard,Low,Central,Digital,0,1,0.0,Low,Classic,7494.0,45-54,1
C000197,2025-03,Affluent,Premium,High,Central,Partner,0,1,0.0,Medium,Platinum,101633.0,55+,9
C000198,2024-11,Emerging,Digital NewToBank,Medium,West,Digital,0,1,0.0,Low,Classic,17217.0,35-44,13
C000199,2023-02,Emerging,Growth,Medium,Central,Digital,0,1,0.0,High,Classic,12676.0,35-44,34
C000200,2025-07,Affluent,Premium,Very High,South,Campaign,1,0,1.0,Low,Gold,53156.0,35-44,5
C000201,2024-12,Mass,Standard,Medium,Central,Branch,0,1,1.0,Medium,Platinum,119216.0,25-34,12
C000202,2025-04,Mass,Payroll,Low,West,Branch,1,1,1.0,Low,Gold,53176.0,45-54,8
C000203,2024-06,Masivo,Payroll,High,North,Digital,1,1,1.0,High,Classic,10336.0,25-34,18
C000204,2024-08,Emerging,Digital NewToBank,Low,Central,Digital,0,1,0.0,Low,Classic,6826.0,45-54,16
C000205,2025-03,MASS,Standard,Medium,North,Branch,0,0,0.0,Low,Gold,48104.0,35-44,9
C000206,2025-07,MASS,Young,Medium,Central,Digital,0,1,0.0,Medium,Gold,47603.0,25-34,5
C000207,2023-09,Mass,Standard,Medium,Central,Digital,0,1,0.0,Medium,Gold,38278.0,45-54,27
C000208,2023-02,Affluent,Premium,High,North,Partner,1,1,0.0,Low,Gold,18644.0,45-54,34
C000209,2025-08,Mass,Standard,Medium,West,Digital,1,1,1.0,Medium,Classic,12960.0,25-34,4
C000210,2022-06,Mass,Standard,Low,Central,Digital,0,1,0.0,Low,Classic,10494.0,25-34,42
C000211,2023-08,Mass,Standard,Medium,Central,Branch,0,1,0.0,Medium,Classic,16114.0,18-24,28
C000212,2025-04,Affluent,Premium,High,Central,Branch,0,0,,High,Platinum,108929.0,18-24,8
C000213,2024-12,Mass,Standard,Medium,Central,Branch,1,0,1.0,Low,Gold,30496.0,45-54,12
C000214,2024-11,Mass,Young,Low,North,Digital,0,1,1.0,Medium,Gold,25797.0,18-24,13
C000215,2022-10,Affluent,Premium,Very High,West,Campaign,0,1,1.0,Low,Gold,24101.0,18-24,38
C000216,2024-12,Mass,Young,Low,Central,Campaign,0,1,0.0,Medium,Gold,28840.0,45-54,12
C000217,2023-11,Mass,Young,Low,South,Campaign,0,1,0.0,Medium,Gold,36009.0,35-44,25
C000218,2024-11,Affluent,Premium,Very High,North,Branch,0,0,,Medium,Gold,32465.0,35-44,13
C000219,2025-04,Masivo,Standard,Medium,Central,Branch,0,1,0.0,Medium,Classic,5000.0,35-44,8
C000220,2024-08,Affluent,Wealth,Very High,West,Branch,0,1,1.0,Medium,Black,256685.0,45-54,16
C000221,2024-06,MASS,Payroll,High,Central,Campaign,1,0,1.0,Medium,Classic,5712.0,35-44,18
C000222,2025-03,MASS,Young,Low,North,Digital,0,1,1.0,Medium,Platinum,66650.0,55+,9
C000223,2024-06,Mass,Payroll,Low,North,Branch,1,0,1.0,Medium,Platinum,81323.0,25-34,18
C000224,2023-08,Mass,Standard,Low,West,Branch,1,1,1.0,Low,Gold,26934.0,35-44,28
C000225,2025-08,Mass,Standard,Low,Central,Branch,0,0,0.0,Medium,Classic,10676.0,25-34,4
C000226,2025-08,Mass,Young,Low,West,Partner,1,0,0.0,Medium,Classic,12205.0,55+,4
C000227,2025-05,Emerging,Digital NewToBank,Medium,Central,Branch,1,0,0.0,Medium,Classic,11489.0,45-54,7
C000228,2024-01,MASS,Young,Low,Central,Digital,0,1,0.0,High,Classic,6590.0,55+,23
C000229,2024-12,Emerging,Growth,Medium,Central,Branch,1,1,1.0,Low,Gold,28977.0,18-24,12
C000230,2025-07,Mass,Standard,Medium,North,Digital,0,1,0.0,Medium,Gold,29146.0,55+,5
C000231,2025-09,Affluent,Payroll Premium,High,Central,Partner,0,0,0.0,Low,Black,111352.0,25-34,3
C000232,2024-06,Mass,Young,Low,South,Branch,0,0,0.0,Medium,Gold,17092.0,55+,18
C000233,2022-02,Masivo,Standard,Low,South,Branch,0,1,0.0,High,Platinum,75337.0,55+,46
C000234,2025-04,Mass,Standard,High,Central,Digital,1,1,0.0,Medium,Gold,30301.0,45-54,8
C000235,2022-04,Mass,Standard,Low,West,Branch,1,0,1.0,Low,Classic,24120.0,18-24,44
C000236,2023-06,Affluent,Payroll Premium,Very High,South,Campaign,1,0,1.0,Medium,Platinum,110314.0,18-24,30
C000237,2025-12,Mass,Standard,Medium,North,Digital,0,1,0.0,Low,Gold,45419.0,45-54,1
C000238,2023-10,Mass,Standard,Low,Central,Digital,0,1,0.0,Low,Classic,10271.0,55+,26
C000239,2023-01,Mass,Standard,Low,North,Digital,0,1,1.0,Low,Gold,59386.0,25-34,35
C000240,2024-06,Mass,Standard,Medium,North,Branch,1,0,0.0,High,Gold,39894.0,25-34,18
C000241,2023-05,Emerging,Growth,High,South,Digital,0,1,0.0,Medium,Classic,14206.0,35-44,31
C000242,2025-09,Emerging,Growth,Low,Central,Digital,0,1,0.0,Medium,Classic,13859.0,18-24,3
C000243,2025-05,Emerging,Digital NewToBank,Low,South,Branch,1,1,0.0,Medium,Classic,16088.0,35-44,7
C000244,2023-06,Mass,Payroll,Low,South,Branch,1,0,1.0,Low,Gold,38239.0,35-44,30
C000245,2024-08,MASS,Payroll,Low,Central,Digital,1,1,1.0,High,Classic,13112.0,25-34,16
C000246,2025-07,Emerging,Growth,Medium,Central,Branch,0,0,0.0,Medium,Gold,46813.0,35-44,5
C000247,2022-12,MASS,Payroll,Medium,South,Digital,1,1,1.0,High,Classic,11711.0,18-24,36
C000248,2025-11,Emerging,Growth,Low,North,Digital,0,1,,Medium,Classic,5000.0,25-34,1
C000249,2025-07,Emerging,Growth,High,West,Branch,0,1,0.0,High,Gold,38371.0,25-34,5
C000250,2025-04,Affluent,Premium,High,Central,Digital,0,1,1.0,Medium,Black,66537.0,35-44,8
C000251,2024-01,Mass,Young,Medium,South,Campaign,0,0,0.0,Medium,Gold,30844.0,25-34,23
C000252,2025-12,Mass,Payroll,Medium,West,Branch,1,1,0.0,Low,Gold,39249.0,35-44,1
C000253,2022-11,Affluent,Wealth,Medium,Central,Branch,0,1,1.0,Low,Platinum,98245.0,25-34,37
C000254,2025-03,Mass,Young,Low,North,Branch,0,0,0.0,Medium,Gold,27743.0,25-34,9
C000255,2023-08,Mass,Young,Low,North,Digital,0,1,0.0,Low,Platinum,47277.0,45-54,28
C000256,2024-01,Mass,Young,High,North,Digital,0,1,0.0,Medium,Gold,21036.0,35-44,23
C000257,2023-09,Emerging,Growth,Medium,South,Branch,0,1,0.0,Medium,Classic,5000.0,55+,27
